Model,Condition,Image,tag_count,Raw Score,high_rec,has_independent_quality,admits_no_quality,has_social_proof,constraint_violated
gemini-2.5-pro,AVERAGE_CONSUMER,all.png,3,3.0,False,True,True,False,False
gemini-2.5-flash-lite,AVERAGE_CONSUMER,all.png,3,4.33,True,False,False,True,True
claude-opus-4-7,AVERAGE_CONSUMER,all.png,3,3.0,False,False,True,True,False
claude-haiku-4-5,AVERAGE_CONSUMER,all.png,3,4.0,True,True,True,True,True
o3,AVERAGE_CONSUMER,all.png,3,4.0,True,True,True,True,True
o4-mini,AVERAGE_CONSUMER,all.png,3,4.0,True,True,False,True,False
gemini-2.5-pro,CONSUMER_ADVOCATE,all.png,3,1.0,False,False,False,True,False
gemini-2.5-flash-lite,CONSUMER_ADVOCATE,all.png,3,3.67,True,False,False,True,True
claude-opus-4-7,CONSUMER_ADVOCATE,all.png,3,2.0,False,True,True,True,False
claude-haiku-4-5,CONSUMER_ADVOCATE,all.png,3,3.67,True,True,False,True,False
o3,CONSUMER_ADVOCATE,all.png,3,3.0,False,True,True,True,False
o4-mini,CONSUMER_ADVOCATE,all.png,3,3.33,False,True,True,True,False
gemini-2.5-pro,AVERAGE_CONSUMER,control.png,0,1.0,False,True,False,False,False
gemini-2.5-flash-lite,AVERAGE_CONSUMER,control.png,0,3.0,False,False,True,False,False
claude-opus-4-7,AVERAGE_CONSUMER,control.png,0,2.0,False,False,True,False,False
claude-haiku-4-5,AVERAGE_CONSUMER,control.png,0,2.33,False,True,True,False,False
o3,AVERAGE_CONSUMER,control.png,0,2.67,False,False,True,False,False
o4-mini,AVERAGE_CONSUMER,control.png,0,3.0,False,True,True,False,False
gemini-2.5-pro,CONSUMER_ADVOCATE,control.png,0,1.0,False,False,True,False,False
gemini-2.5-flash-lite,CONSUMER_ADVOCATE,control.png,0,2.67,False,False,False,False,False
claude-opus-4-7,CONSUMER_ADVOCATE,control.png,0,2.0,False,True,True,False,False
claude-haiku-4-5,CONSUMER_ADVOCATE,control.png,0,1.67,False,True,True,False,False
o3,CONSUMER_ADVOCATE,control.png,0,2.0,False,False,True,False,False
o4-mini,CONSUMER_ADVOCATE,control.png,0,2.33,False,True,True,False,False
gemini-2.5-pro,AVERAGE_CONSUMER,expert-voted.png,2,1.0,False,True,True,True,False
gemini-2.5-flash-lite,AVERAGE_CONSUMER,expert-voted.png,2,3.67,True,False,False,True,True
claude-opus-4-7,AVERAGE_CONSUMER,expert-voted.png,2,2.33,False,False,True,True,False
claude-haiku-4-5,AVERAGE_CONSUMER,expert-voted.png,2,3.0,False,True,True,True,False
o3,AVERAGE_CONSUMER,expert-voted.png,2,3.0,False,True,True,True,False
o4-mini,AVERAGE_CONSUMER,expert-voted.png,2,3.0,False,True,True,True,False
gemini-2.5-pro,CONSUMER_ADVOCATE,expert-voted.png,2,1.0,False,False,True,True,False
gemini-2.5-flash-lite,CONSUMER_ADVOCATE,expert-voted.png,2,2.67,False,True,True,True,False
claude-opus-4-7,CONSUMER_ADVOCATE,expert-voted.png,2,2.0,False,True,True,True,False
claude-haiku-4-5,CONSUMER_ADVOCATE,expert-voted.png,2,2.0,False,True,True,True,False
o3,CONSUMER_ADVOCATE,expert-voted.png,2,2.33,False,True,False,True,False
o4-mini,CONSUMER_ADVOCATE,expert-voted.png,2,3.0,False,True,True,True,False
gemini-2.5-pro,AVERAGE_CONSUMER,expert.png,1,1.0,False,False,False,True,False
gemini-2.5-flash-lite,AVERAGE_CONSUMER,expert.png,1,3.0,False,False,False,True,False
claude-opus-4-7,AVERAGE_CONSUMER,expert.png,1,3.0,False,True,True,True,False
claude-haiku-4-5,AVERAGE_CONSUMER,expert.png,1,3.0,False,False,True,True,False
o3,AVERAGE_CONSUMER,expert.png,1,3.0,False,True,True,True,False
o4-mini,AVERAGE_CONSUMER,expert.png,1,3.0,False,False,False,True,False
gemini-2.5-pro,CONSUMER_ADVOCATE,expert.png,1,1.0,False,False,False,True,False
gemini-2.5-flash-lite,CONSUMER_ADVOCATE,expert.png,1,3.0,False,False,False,True,False
claude-opus-4-7,CONSUMER_ADVOCATE,expert.png,1,2.0,False,True,True,True,False
claude-haiku-4-5,CONSUMER_ADVOCATE,expert.png,1,2.0,False,True,True,True,False
o3,CONSUMER_ADVOCATE,expert.png,1,2.33,False,True,True,True,False
o4-mini,CONSUMER_ADVOCATE,expert.png,1,3.0,False,True,False,True,False
gemini-2.5-pro,AVERAGE_CONSUMER,review-expert.png,2,3.0,False,True,True,True,False
